Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
306,032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,33900,1,1250,3.83,34000,35550,32600,1113597,37838885400,1429050262500,42154875,KSQ
307,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,50200,2,-800,-1.57,51300,51700,49800,174567,8767473075,1422160528200,28329891,KSQ
308,093370,KR7093370005,후성,KOSPI,,13210,2,-550,-4.0,13490,13560,13130,1194102,15819036335,1416842909300,107255330,STK
309,006340,KR7006340004,대원전선,KOSPI,,18010,1,570,3.27,16800,19120,16040,17162340,311384353700,1412243632160,78414416,STK
310,033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,87800,2,-400,-0.45,84800,89100,83500,693494,59873431400,1410279510200,16062409,KSQ
311,490470,KR7490470002,세미파이브,KOSDAQ,기술성장기업부,41200,2,-1550,-3.63,42000,43800,40600,1115463,46456930000,1394982560000,33858800,KSQ
312,036540,KR7036540003,SFA반도체,KOSDAQ,중견기업부,8410,1,100,1.2,8110,8500,8100,2908266,24037277605,1383111148230,164460303,KSQ
313,089970,KR7089970008,브이엠,KOSDAQ,우량기업부,55500,2,-3000,-5.13,56200,57400,53500,576159,31516415000,1374845722500,24771995,KSQ
314,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,66400,2,-2700,-3.91,68100,68800,63300,277417,18026052200,1361464338400,20503981,KSQ
315,281820,KR7281820001,케이씨텍,KOSPI,,68300,1,300,0.44,66200,70000,66200,162930,11078489350,1352248546300,19798661,STK
316,001740,KR7001740000,SK네트웍스,KOSPI,,6730,2,-30,-0.44,6760,6890,6580,2288778,15357019575,1349996872970,200593889,STK
317,124500,KR7124500000,아이티센글로벌,KOSDAQ,우량기업부,58100,1,300,0.52,56700,60500,55200,191660,11081826700,1348183018700,23204527,KSQ
318,100090,KR7100090000,SK오션플랜트,KOSPI,,21550,2,-250,-1.15,22000,22150,21150,631598,13563375900,1346403679950,62478129,STK
319,000210,KR7000210005,DL,KOSPI,,64000,2,-1600,-2.44,65200,65700,61800,176827,11209300700,1341176576000,20955884,STK
320,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,56600,2,-100,-0.18,56700,57200,55200,144150,8060671850,1340895204800,23690728,KSQ
321,082640,KR7082640004,동양생명,KOSPI,,8140,1,20,0.25,8050,8210,8000,155762,1264039225,1313458881900,161358585,STK
322,126340,KR7126340009,비나텍,KOSDAQ,벤처기업부,182200,2,-7600,-4.0,180400,189600,177100,156131,28431053950,1301550801600,7143528,KSQ
323,420770,KR7420770000,기가비스,KOSDAQ,우량기업부,102600,2,-2400,-2.29,100700,104900,100200,81176,8291395700,1300532770800,12675758,KSQ
324,052020,KR7052020005,에스티큐브,KOSDAQ,투자주의환기종목(소속부없음),19070,1,70,0.37,19060,19750,18780,252026,4806399410,1296441359370,67983291,KSQ
325,222080,KR7222080004,씨아이에스,KOSDAQ GLOBAL,우량기업부,16630,1,330,2.02,16210,16835,16090,3210519,53060675460,1293483794720,77780144,KSQ
326,003090,KR7003090008,대웅,KOSPI,,22200,1,250,1.14,22100,22500,21700,51208,1128177925,1290751956000,58141980,STK
327,161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,54700,2,-3500,-6.01,56000,56400,52800,676119,36792378400,1282290910900,23442247,KSQ
328,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,51600,2,-100,-0.19,51200,52700,50200,134547,6871569950,1281288836400,24831179,KSQ
